,PC1,PC2
mean_speed,0.38551897302387006,-0.25994906043911103
std_speed,0.41792467111965814,0.004081763821329083
p95_speed,0.41660988540145344,-0.05209337054242161
mean_divergence,-0.3012577062999685,0.450224697641465
std_divergence,0.41478345435071856,0.08548647466208176
mean_vorticity,0.2400747707306865,0.8474164106450321
std_vorticity,0.4274492706091668,0.03963984333282198
